"ECO_ID","species","genus","family","LSLA","LNC.m","LL","SSD","SCdia","SBthick","RNC","RSRL","RTD","Max.H","RD","SD","LA","SdM"
40149,"acacia auriculiformis","acacia","Fabaceae",0.9362,1.1922,1.2042,-0.2093,1.2014,NA,1.36796313582496,3.4194,-0.2857,NA,-0.4575,-2.0715,1.8131,1.8043
10409,"acacia beckleri","acacia","Fabaceae",1.0309,1.2759,1.1431,-0.2436,1.6531,0.3778,1.43013151661739,3.3655,-0.4689,0.8216,0.1432,-1.0269,3.2108,2.0231
10402,"acacia binervia","acacia","Fabaceae",0.9502,1.2063,1.2434,-0.2163,1.437,0.3068,1.40732630792405,3.2532,-0.3796,0.4849,NA,-1.2716,2.5129,1.8901
60212,"acacia boriensis","acacia","Fabaceae",1.036,1.2795,1.1525,-0.2458,1.7006,0.4057,1.44028866801979,3.3315,-0.4913,0.9418,0.2039,-0.8955,3.3402,2.019
11207,"acacia brachybotrya","acacia","Fabaceae",0.8971,1.1604,1.2814,-0.1978,1.2909,0.2498,1.39750723581138,3.181,-0.3159,0.2642,-0.0972,-1.4284,2.0702,1.6953
10803,"acacia brachystachya","acacia","Fabaceae",0.8384,1.1078,1.4038,-0.1795,1.3289,0.411,1.41844382260575,2.9524,-0.3366,0.707,0.3147,-0.7631,2.1869,1.5449
11309,"acacia brachystachya","acacia","Fabaceae",0.8102,1.0817,1.5007,-0.1717,1.4358,0.5324,1.44562288220446,2.7664,-0.3844,1.1889,0.6689,NA,2.4813,1.4791
30116,"acacia burkei","acacia","Fabaceae",1.168,1.3605,1.0284,-0.2841,1.8617,0.5336,1.42644619364674,3.6738,-0.547,0.9026,0.3991,-0.9711,3.7463,3.3032
31004,"acacia burkei","acacia","Fabaceae",1.1368,1.3364,1.0591,-0.274,1.8045,0.5293,1.43666028918989,3.5871,-0.5279,0.8604,0.3589,-0.9626,3.5732,3.1203
81327,"acacia burkei","acacia","Fabaceae",1.1641,1.3609,1.0344,-0.2833,1.8284,0.5168,1.42594810279444,3.6575,-0.5402,0.7796,0.277,-1.1113,3.6181,3.3211
10705,"acacia calyculata","acacia","Fabaceae",0.8632,1.1307,1.3426,-0.1867,1.2524,0.2711,1.39680763084453,3.1117,-0.3003,0.3233,NA,-1.3034,1.9528,1.6445
11309,"acacia cana","acacia","Fabaceae",0.8747,1.1397,1.3443,-0.1911,1.3288,0.3273,1.4127275942175,3.0821,-0.3364,0.5101,NA,-1.0868,2.1743,1.6813
10803,"acacia colletioides","acacia","Fabaceae",0.8328,1.1051,1.3503,-0.1767,1.2327,0.2509,1.41926495188063,2.956,-0.2934,0.4177,NA,-1.1437,1.9177,1.0996
11207,"acacia colletioides","acacia","Fabaceae",0.8833,1.1494,1.2724,-0.1933,1.2897,0.2257,1.41236309324726,3.0838,-0.3156,0.3408,-0.0991,-1.3317,2.0954,1.281
70106,"acacia confusa","acacia","Fabaceae",0.9767,1.259,1.1234,-0.229,1.4093,0.0858,1.38497313640034,3.3588,-0.3767,NA,-0.5572,-1.8898,2.5233,1.233
10117,"acacia crassicarpa","acacia","Fabaceae",0.9783,1.247,1.1589,-0.2278,1.4037,0.1471,1.36816969327874,3.3908,-0.3729,0.1842,-0.4118,-1.8048,2.4556,1.6618
40149,"acacia crassicarpa","acacia","Fabaceae",1.0106,1.2703,1.1387,-0.2383,1.4041,0.1454,1.28620713920582,3.5299,-0.3756,NA,-0.5,-2.0434,2.4056,2.1791
10803,"acacia cultriformis","acacia","Fabaceae",0.9909,1.2424,1.1558,-0.2293,1.4573,0.2463,1.40896205783609,3.3559,-0.3856,0.3369,-0.1775,-1.5284,2.587,1.905
11206,"acacia cupularis","acacia","Fabaceae",0.9554,1.2101,1.2524,-0.2186,1.5365,0.3863,1.43023151534726,3.196,-0.421,0.8127,0.2273,-0.8967,2.8394,1.8048
10411,"acacia dealbata","acacia","Fabaceae",0.9892,1.2696,1.137,-0.2345,1.5573,0.1966,1.4160060740564,3.2598,-0.439,0.5912,-0.2866,-1.4084,2.9694,1.1883
10413,"acacia dealbata","acacia","Fabaceae",1.0172,1.2853,1.1535,-0.2434,1.6818,0.3061,1.42982169699236,3.2728,-0.4878,0.8784,NA,-1.0723,3.3072,1.5523
31314,"acacia dealbata","acacia","Fabaceae",0.996,1.2691,1.1658,-0.2362,1.6157,0.2696,1.42408578978678,3.2541,-0.4607,0.7689,-0.0974,-1.1752,3.1187,1.4194
10409,"acacia deanei","acacia","Fabaceae",0.8536,1.1201,1.4024,-0.1848,1.3778,0.4097,1.42703795089895,2.9649,-0.3582,0.7774,0.3272,-0.7253,2.3143,1.6256
10803,"acacia decora","acacia","Fabaceae",0.8374,1.107,1.4045,-0.179,1.3045,0.3655,1.41754476146236,2.9685,-0.3252,0.6145,0.2307,-0.8879,2.0953,1.566
10402,"acacia decurrens","acacia","Fabaceae",0.9808,1.2318,1.2258,-0.2272,1.5878,0.403,1.42827575480664,3.2466,-0.4427,0.8532,0.2303,-0.8928,2.9952,1.9244
10701,"acacia difficilis","acacia","Fabaceae",1.1715,1.3606,0.803,-0.2821,1.7329,NA,1.43817830652182,3.5538,-0.4664,0.5441,-0.234,-1.5978,3.4763,1.3679
10701,"acacia dimidiata","acacia","Fabaceae",0.8871,1.1499,1.3602,-0.1964,1.4676,0.4295,1.4238534609997,3.0163,-0.394,0.9298,0.3939,-0.6179,2.6131,1.6176
10704,"acacia dimidiata","acacia","Fabaceae",0.9001,1.1615,1.346,-0.2008,1.4972,0.4275,1.42507914672075,3.0501,-0.4051,0.9614,0.396,-0.6157,2.7072,1.6608
10402,"acacia doratoxylon","acacia","Fabaceae",0.9386,1.1967,1.2662,-0.2137,1.5464,0.4035,1.42807969347239,3.0976,-0.4227,0.8947,0.2729,-0.7713,2.8641,1.6896
10409,"acacia doratoxylon","acacia","Fabaceae",0.9003,1.1626,1.3387,-0.2014,1.5164,0.4387,1.4308825567372,2.9917,-0.4124,0.9886,0.3921,-0.5828,2.758,1.6271
10803,"acacia doratoxylon","acacia","Fabaceae",0.948,1.2049,1.2694,-0.2173,1.6,0.445,1.43238235650703,3.0956,-0.446,1.0252,0.362,-0.6323,3.0241,1.7552
11302,"acacia estrophiolata","acacia","Fabaceae",0.9315,1.1999,1.2817,-0.2133,1.6027,0.4417,1.44399011511304,3.0464,-0.4538,1.1119,0.3515,-0.5423,3.0723,1.4221
10803,"acacia excelsa","acacia","Fabaceae",0.9205,1.1783,1.2914,-0.2077,1.6005,0.4414,1.46175356612546,2.9611,-0.4473,1.2236,0.4715,-0.3597,3.0625,1.2419
10402,"acacia falcata","acacia","Fabaceae",0.9144,1.1728,1.354,-0.2063,1.5775,0.4866,1.45176648514287,2.9688,-0.4418,1.1229,0.4679,-0.4437,2.919,1.7116
10117,"acacia flavescens","acacia","Fabaceae",1.0548,1.2999,1.1757,-0.2541,1.8363,0.4809,1.44976680453444,3.3131,-0.5474,1.2648,0.3857,-0.5822,3.732,2.1339
10705,"acacia flavescens","acacia","Fabaceae",0.918,1.1998,1.2904,-0.2108,1.5919,0.389,1.44653561380019,3.0043,-0.4521,1.1016,0.2509,-0.6096,3.0572,1.1499
10402,"acacia floribunda","acacia","Fabaceae",0.92,1.1788,1.3239,-0.2072,1.5073,0.4541,1.42956819054227,3.1109,-0.4118,0.8797,0.3579,-0.7184,2.7226,1.9078
10409,"acacia genistifolia","acacia","Fabaceae",0.9243,1.1839,1.2475,-0.207,1.3464,0.2558,1.40393684508554,3.236,-0.3411,0.3174,NA,-1.4207,2.2442,1.7484
10705,"acacia genistifolia","acacia","Fabaceae",0.9351,1.1939,1.2272,-0.2103,1.3236,0.2243,1.39644694644733,3.2823,-0.3308,0.1753,-0.1996,-1.6068,2.1669,1.8259
10803,"acacia hakeoides","acacia","Fabaceae",0.9501,1.2064,1.2383,-0.2167,1.5013,0.3459,1.42566787916115,3.176,-0.4046,0.6968,0.1203,-1.0266,2.725,1.723
11207,"acacia hakeoides","acacia","Fabaceae",0.9003,1.1629,1.3014,-0.2,1.4058,0.3375,1.42219245755666,3.0811,-0.3638,0.6339,0.144,-1.0044,2.429,1.5896
10704,"acacia hammondii","acacia","Fabaceae",0.8652,1.1531,1.281,-0.1909,1.3013,0.2217,1.40851300997511,3.0296,-0.3298,0.424,-0.1566,-1.2981,2.1969,0.9268
10402,"acacia havilandiorum","acacia","Fabaceae",0.8492,1.1063,1.3881,-0.1807,1.2935,0.3823,1.41167525170516,3.0068,-0.3124,0.5549,0.2789,-0.9188,2.0443,1.8111
10409,"acacia havilandiorum","acacia","Fabaceae",0.8422,1.0995,1.4335,-0.1791,1.3295,0.4456,1.41521047482449,2.9767,-0.3325,0.7039,0.4113,-0.7179,2.132,1.9423
10803,"acacia havilandiorum","acacia","Fabaceae",0.9206,1.1673,1.3196,-0.205,1.4256,0.4157,1.39764458796992,3.1858,-0.3676,0.6169,0.2818,-0.9702,2.4285,2.24
11207,"acacia havilandiorum","acacia","Fabaceae",0.8739,1.1285,1.3433,-0.1884,1.2607,0.3438,1.39388041817571,3.144,-0.2996,0.3192,0.1143,-1.2302,1.9422,2.0334
10704,"acacia hemignosta","acacia","Fabaceae",0.9284,1.1957,1.2571,-0.2107,1.4646,0.3292,1.41866250059723,3.1525,-0.393,0.6823,NA,-1.0462,2.649,1.5148
11201,"acacia hemiteles","acacia","Fabaceae",0.936,1.1903,1.3401,-0.2139,1.6762,0.5619,1.46151953568311,2.9664,-0.4829,1.3466,0.6201,-0.1986,3.2242,1.7882
10704,"acacia hemsleyi","acacia","Fabaceae",1.0249,1.2594,1.1929,-0.2404,1.7168,0.5022,1.44370410045867,3.3122,-0.4861,1.1031,0.4797,-0.6097,3.3819,2.2596
10704,"acacia holosericea","acacia","Fabaceae",0.9434,1.2243,1.2155,-0.218,1.4422,0.1924,1.39844176313488,3.2283,-0.3874,0.4515,-0.2474,-1.4565,2.5789,1.353
10803,"acacia homalophylla","acacia","Fabaceae",0.8542,1.1216,1.3664,-0.1851,1.4236,0.4138,1.44257853239092,2.8713,-0.3734,0.9533,0.3826,-0.5337,2.5065,1.1886
10402,"acacia irrorata","acacia","Fabaceae",1.031,1.2761,1.144,-0.2438,1.6537,0.3841,1.43336814576799,3.3423,-0.4671,0.8112,0.1345,-1.0338,3.2053,2.0227
11302,"acacia kempeana","acacia","Fabaceae",0.9649,1.2204,1.1633,-0.2214,1.5228,0.2579,1.4379882502195,3.1322,-0.4122,0.7117,NA,-1.0819,2.8347,1.1789
70106,"acacia koa","acacia","Fabaceae",1.0322,1.2922,1.082,-0.2457,1.6118,0.2975,1.4197327644298,3.3787,-0.4571,0.6335,NA,-1.3195,3.1451,1.6323
70701,"acacia koa","acacia","Fabaceae",1.0199,1.2727,1.1574,-0.2415,1.6811,0.4043,1.43531869174406,3.2935,-0.4868,0.9364,0.1754,-0.8954,3.3048,1.8541
11205,"acacia lasiocarpa","acacia","Fabaceae",0.999,1.2526,1.0828,-0.2304,1.2943,NA,1.35503369150862,3.6334,-0.3156,NA,-0.5392,-2.2136,2.1621,1.9157
10701,"acacia latescens","acacia","Fabaceae",1.0987,1.3483,1.0642,-0.2699,1.8903,0.4047,1.42865951949047,3.3936,-0.5711,1.1761,0.1678,-0.8247,3.9367,1.9466
10705,"acacia leptostachya","acacia","Fabaceae",0.8169,1.091,1.3987,-0.1712,1.1668,0.2553,1.3921937946062,3.0251,-0.2645,0.2749,NA,-1.2814,1.6927,1.4833
10803,"acacia ligulata","acacia","Fabaceae",0.9033,1.1644,1.2954,-0.2007,1.4018,0.3393,1.42275558200275,3.0924,-0.3662,0.627,0.1372,-1.0063,2.4239,1.5597
11302,"acacia ligulata","acacia","Fabaceae",0.9242,1.1826,1.2695,-0.2078,1.456,0.3518,1.42890223341258,3.1164,-0.3888,0.7071,0.1587,-0.9556,2.5972,1.5683
10402,"acacia linifolia","acacia","Fabaceae",0.808,1.0771,1.4858,-0.1691,1.3255,0.5437,1.41765434080595,2.9128,-0.3399,0.8628,0.5839,-0.4565,2.1511,1.9051
10402,"acacia longifolia","acacia","Fabaceae",0.9003,1.1559,1.3724,-0.2005,1.5448,0.489,1.44835224879118,2.9592,-0.4195,1.0989,0.5196,-0.4216,2.8129,1.7644
10402,"acacia longissima","acacia","Fabaceae",0.964,1.2191,1.1971,-0.2205,1.4278,0.2509,1.40728550515414,3.2903,-0.3729,0.3784,-0.1263,-1.4378,2.4969,1.8037
10117,"acacia mangium","acacia","Fabaceae",1.0503,1.292,1.2325,-0.2515,1.7359,0.579,1.40090219502756,3.5499,-0.514,0.9893,0.4473,-0.7951,3.39,3.0792
40102,"acacia mangium","acacia","Fabaceae",1.0265,1.2703,1.2898,-0.2443,1.7712,0.6499,1.41390467198641,3.4354,-0.5322,1.2235,0.6309,-0.4694,3.4856,3.0113
